Sensor_1,Sensor_2,Sensor_3,x,x_pred
-0.336145254107275,-0.558555147635364,-0.3713880627183218,0,0
-0.3368506823245146,-0.5627059930664937,-0.3727769033900069,0,0
-0.34166419251273744,-0.5601943350030713,-0.370473460324773,0,0
-0.33784658098414694,-0.5605380355801712,-0.3722687909491465,0,0
-0.33863500075635583,-0.5630496936435937,-0.3729462742036271,0,0
-0.3366432034370912,-0.5598241959200406,-0.3764014388014779,0,0
-0.3397553867484422,-0.5584758321175717,-0.37501259812979276,0,0
-0.3342364483429798,-0.5623622924893938,-0.3736237574581076,0,0
-0.3390499585312026,-0.5600621424734175,-0.37545296224520514,0,0
-0.3363942287721831,-0.5593483028132868,-0.3718623009964582,0,0
-0.3372656400993614,-0.5638692873274472,-0.370473460324773,0,0
-0.33826153875899373,-0.5611196827106479,-0.3722349167864225,0,0
-0.3395894036385035,-0.5603794045445866,-0.3719300493219062,0,0
-0.3400873529683196,-0.5590839177539793,-0.37314951917997125,0,0
-0.34116624318292127,-0.5617277683470555,-0.37382700243445177,0,0
-0.336145254107275,-0.5619921534063631,-0.3732850158308674,0,0
-0.3395894036385035,-0.5589252867183947,-0.37375925410900374,0,0
-0.3399628656358656,-0.5590839177539793,-0.37562233305882525,0,0
-0.34261859539488504,-0.5621772229478784,-0.3734543866444875,0,0
-0.3354813216675202,-0.557444730386272,-0.3700669703720847,0,0
-0.33394597790058705,-0.560564474086102,-0.3734543866444875,0,0
-0.3365187161046372,-0.5618335223707785,-0.3736237574581076,0,0
-0.3399213698583809,-0.5588988482124639,-0.37196392348463025,0,0
-0.3397553867484422,-0.5601414579912097,-0.37118481774197765,0,0
-0.33772209365169287,-0.5597184418963176,-0.3724381617627667,0,0
-0.3392989331961107,-0.5603529660386558,-0.3719300493219062,0,0
-0.33498337233770403,-0.5608288591454096,-0.37084607611473736,0,0
-0.33813705142653966,-0.5588195326946717,-0.3729462742036271,0,0
-0.3427430827273391,-0.5596391263785253,-0.3701347186975328,0,0
-0.33415345678801045,-0.5598506344259714,-0.3693217387921561,0,0
-0.3365602118821219,-0.5605909125920328,-0.37135418855559776,0,0
-0.33676769076954527,-0.5619392763945016,-0.3710154469283575,0,0
-0.336933673879484,-0.560326527532725,-0.3739624990853479,0,0
-0.3373071358768461,-0.5593483028132868,-0.37314951917997125,0,0
-0.33772209365169287,-0.5606966666157558,-0.3733527641563154,0,0
-0.33498337233770403,-0.5609081746632019,-0.3690507454903639,0,0
-0.33801256409408564,-0.5614633832877479,-0.371659056020114,0,0
-0.33718264854439206,-0.5582907625760564,-0.37416574406169206,0,0
-0.33784658098414694,-0.5610139286869249,-0.37382700243445177,0,0
-0.33896696697623324,-0.558105693034541,-0.36942336128032816,0,0
-0.34079278118555917,-0.5596920033903868,-0.3710493210910815,0,0
-0.33772209365169287,-0.5610932442047172,-0.3709138244401854,0,0
-0.33228614680119983,-0.5620185919122939,-0.37253978425093875,0,0
-0.33875948808880985,-0.5608024206394788,-0.36952498376850024,0,0
-0.3363527329946984,-0.5571274683151028,-0.370473460324773,0,0
-0.33772209365169287,-0.5621243459360169,-0.3703040895111529,0,0
-0.33734863165433077,-0.5601943350030713,-0.3737931282717278,0,0
-0.336145254107275,-0.5607231051216865,-0.3732172675054193,0,0
-0.3356058089999742,-0.561569137311471,-0.3690846196530879,0,0
-0.33477589345028064,-0.5615426988055402,-0.3743689890380362,0,0
-0.33776358942917756,-0.561569137311471,-0.37474160482800056,0,0
-0.33527384278009675,-0.5603529660386558,-0.36847488472405543,0,0
-0.3366846992145759,-0.5570745913032413,-0.3700330962093607,0,0
-0.33506636389267336,-0.5617542068529863,-0.3708122019520133,0,0
-0.3401288487458043,-0.5587402171768794,-0.3702024670229808,0,0
-0.34178867984519146,-0.5585287091294332,-0.37375925410900374,0,0
