Sensor_0,Sensor_1,Sensor_2,Sensor_3,x,z,time
98447.75,104099.5,107935.5,100514.25,0,0,0
98453.5,104108.75,107903.5,100474.5,0,0,0.015028
98448,104092,107906.75,100495.5,0,0,0.03085804
98452.5,104098,107895.75,100510.5,0,0,0.046309471
98422.75,104096.75,107905.25,100492,0,0,0.062148094
98421.75,104069.5,107922.5,100509.75,0,0,0.077378511
98452.75,104125.75,107933.25,100498,0,0,0.091919661
98459,104078.75,107904.25,100495.25,0,0,0.108537436
98458.75,104123.5,107921.5,100491,0,0,0.123953581
98448.5,104105.25,107944.5,100514.5,0,0,0.139124632
98455.75,104113.25,107901,100513.75,0,0,0.153661013
98464.5,104087,107921.25,100501,0,0,0.170160294
98460,104083,107920.25,100504.25,0,0,0.18612051
98467.5,104098.75,107928,100491.75,0,0,0.201438189
98453.5,104108.75,107923.5,100514,0,0,0.21543026
98466.75,104107.25,107927.25,100516.75,0,0,0.231899738
98451.75,104094.5,107907.75,100509.75,0,0,0.247065306
98445,104107,107907,100531,0,0,0.262790442
98465.25,104086,107901.5,100487.5,0,0,0.278605223
98440.75,104098.25,107909.75,100498.25,0,0,0.293756247
98493.75,104109.75,107940.5,100506.25,0,0,0.310012102
98434,104102.25,107918.5,100502.25,0,0,0.324975967
98445.5,104079.5,107915.5,100521,0,0,0.340210676
98433,104092.25,107924.25,100529,0,0,0.355495214
98444.25,104123.75,107923.5,100495.75,0,0,0.37135911
98450.5,104116,107907.75,100507.25,0,0,0.387078524
98436.5,104084.75,107926.25,100498.75,0,0,0.403086424
98430.25,104110.25,107936,100504.5,0,0,0.419080973
98465,104087.5,107929.75,100514.75,0,0,0.434085846
98471.75,104086.25,107925.5,100481.25,0,0,0.449253798
98448.75,104097.75,107914.25,100501.75,0,0,0.463937044
98457.25,104103.25,107918.25,100493.75,0,0,0.480926752
98443.75,104094,107910.75,100492.5,0,0,0.495922327
98472.5,104101,107900.25,100508,0,0,0.511922836
98448.5,104114,107919,100507.75,0,0,0.525965691
98446,104085,107914.25,100516.5,0,0,0.542002439
98435.5,104087.75,107947.75,100522.5,0,0,0.557648182
98469,104069.75,107917,100511.75,0,0,0.57359314
98439.25,104078,107914.25,100501.75,0,0,0.589680672
98468.5,104105.5,107916.25,100481.5,0,0,0.606576681
98468.75,104090.75,107918.75,100500,0,0,0.622436047
98479,104086.75,107949.25,100511.25,0,0,0.637684584
98463.25,104094,107929.25,100518,0,0,0.653657198
98439,104075.25,107924,100525.5,0,0,0.669223785
98447.5,104069.75,107914,100513.5,0,0,0.684294224
98448.25,104099.5,107927,100485.75,0,0,0.700035572
98437,104088.25,107921.25,100521.5,0,0,0.715209007
98438.75,104114.75,107904,100510.75,0,0,0.731184721
98449.75,104079,107931.75,100502,0,0,0.746316433
98451.5,104122.75,107914,100500.25,0,0,0.761256218
98441.5,104114.5,107904.75,100520.5,0,0,0.777261019
98451.75,104095.25,107916.5,100505.75,0,0,0.792935848
98455,104114,107927.75,100523.75,0,0,0.808042288
98458.25,104069.25,107943,100492.5,0,0,0.823211908
98439.5,104098.25,107915.25,100517,0,0,0.838231325
98451,104106.75,107913.5,100509.5,0,0,0.854334116
98456.25,104092.75,107920,100503,0,0,0.869669199
98448,104090.25,107899,100480.5,0,0,0.884824038
98459.25,104087.5,107909,100497.25,0,0,0.900033236
98453.75,104064.75,107921.25,100525.5,0,0,0.915916443
98451.5,104096.75,107929.25,100501,0,0,0.931747675
98467.75,104093.5,107917,100499.25,0,0,0.947021008
98457.75,104104.5,107908.5,100522.5,0,0,0.962116957
98439.5,104094,107942,100508.5,0,0,0.978111982
98434,104096.75,107940.25,100502,0,0,0.993726492
98438.75,104093.5,107920.25,100518.75,0,0,1.008761883
98431.75,104085,107924.25,100513,0,0,1.025951147
98449,104093.75,107895.75,100513.5,0,0,1.041132689
98441,104092.25,107938.5,100514,0,0,1.057227373
98484.25,104113.5,107909.5,100536,0,0,1.072590351
98466.75,104085.5,107924.25,100506,0,0,1.088200331
98448.5,104106.5,107921.25,100518.5,0,0,1.103933096
98461.5,104097.25,107924,100531.5,0,0,1.119614601
98450.25,104087.75,107911.25,100544.25,0,0,1.135209084
98458.75,104107.25,107912.5,100509,0,0,1.150238037
98454.5,104102.75,107930.75,100497.25,0,0,1.165913582
98445.25,104086,107889,100493.75,0,0,1.181798458
98441.25,104108.5,107897.75,100533.5,0,0,1.197701931
98463.25,104102.25,107930.5,100496,0,0,1.213251114
98458,104128,107920,100518.75,0,0,1.22807765
98457.75,104070,107894,100509.5,0,0,1.243663788
98464.75,104079.75,107930.25,100486.25,0,0,1.258913517
98439.5,104099,107935,100495.75,0,0,1.274242401
98439,104093,107895.75,100523.5,0,0,1.28956151
98469.5,104086,107911.25,100514.5,0,0,1.303649664
