Sensor_0,Sensor_1,Sensor_2,Sensor_3,x,z,time
99528.00,93315.50,82295.75,103038.00,0,0,0.0
99465.50,93318.25,82303.25,102964.00,0,0,0.014530658721923828
99460.00,93307.75,82289.25,102946.75,0,0,0.029546022415161133
99456.50,93297.50,82301.00,102966.00,0,0,0.046525001525878906
99477.25,93297.25,82295.25,102955.25,0,0,0.06154823303222656
99479.25,93310.25,82306.00,102954.00,0,0,0.07652449607849121
99507.00,93328.75,82283.00,102980.25,0,0,0.0920565128326416
99488.25,93307.75,82264.25,102984.00,0,0,0.10734724998474121
99497.50,93315.25,82315.25,102985.00,0,0,0.12268304824829102
99492.50,93310.50,82291.00,102980.50,0,0,0.13792133331298828
99504.50,93314.50,82298.50,102988.50,0,0,0.15357565879821777
99528.50,93322.75,82277.00,102990.25,0,0,0.1681959629058838
99526.25,93315.50,82299.25,103002.75,0,0,0.18319416046142578
99517.00,93309.75,82304.00,103006.50,0,0,0.19792842864990234
99468.75,93338.50,82286.75,102961.75,0,0,0.21402573585510254
99518.75,93321.00,82280.25,103007.75,0,0,0.22922849655151367
99533.50,93315.25,82290.50,102974.50,0,0,0.24421000480651855
99529.00,93306.25,82306.25,102981.25,0,0,0.259857177734375
99543.75,93311.50,82292.50,103001.00,0,0,0.2750377655029297
99529.00,93333.50,82286.75,103001.50,0,0,0.2904047966003418
99526.25,93309.00,82289.00,103003.50,0,0,0.3060133457183838
99559.00,93311.00,82276.75,103005.00,0,0,0.3210642337799072
99555.00,93303.50,82293.00,103023.75,0,0,0.3373560905456543
99545.75,93320.75,82298.75,103040.75,0,0,0.35292673110961914
99520.75,93303.25,82289.50,103002.00,0,0,0.36833763122558594
99528.75,93321.25,82311.25,103031.75,0,0,0.3839566707611084
99510.00,93324.50,82282.75,103028.25,0,0,0.400357723236084
99567.75,93348.75,82293.25,103025.75,0,0,0.41479921340942383
99549.75,93322.00,82314.50,103033.75,0,0,0.4301149845123291
99537.25,93318.50,82292.75,103018.50,0,0,0.44562339782714844
99553.00,93336.00,82295.00,103023.00,0,0,0.4613921642303467
99580.75,93311.75,82271.00,103014.75,0,0,0.47733521461486816
99538.00,93323.50,82288.25,103018.25,0,0,0.49323582649230957
99555.00,93333.00,82288.50,103056.50,0,0,0.507664680480957
99528.75,93303.25,82289.50,103031.00,0,0,0.5242099761962891
99560.50,93317.00,82290.25,103049.00,0,0,0.5394759178161621
99555.50,93303.25,82292.00,103014.25,0,0,0.5548250675201416
99565.25,93317.00,82296.75,103038.75,0,0,0.5715603828430176
99566.50,93307.00,82298.50,103028.50,0,0,0.5870983600616455
99545.75,93322.50,82286.25,103035.25,0,0,0.6025784015655518
99537.25,93323.25,82281.50,103033.00,0,0,0.6181471347808838
99563.00,93340.00,82276.00,103013.75,0,0,0.6340477466583252
99552.75,93315.00,82287.50,103051.75,0,0,0.6494467258453369
99561.75,93294.50,82288.50,103036.00,0,0,0.6635422706604004
99589.75,93317.25,82299.25,103044.00,0,0,0.6785247325897217
99551.25,93314.00,82300.50,103035.50,0,0,0.6955533027648926
99570.75,93294.75,82314.00,103035.25,0,0,0.7106058597564697
99553.50,93336.50,82304.75,103013.50,0,0,0.7271273136138916
99565.50,93323.75,82285.25,103035.25,0,0,0.7431495189666748
99548.75,93362.50,82277.00,103072.00,0,0,0.7584362030029297
99548.00,93317.50,82306.50,103045.00,0,0,0.7744362354278564
99570.75,93320.25,82287.25,103042.50,0,0,0.7904398441314697
99550.75,93287.25,82286.00,103052.50,0,0,0.805570125579834
99540.75,93317.50,82281.00,103013.50,0,0,0.8212029933929443
99556.75,93312.00,82301.00,103035.00,0,0,0.837287187576294
99584.00,93313.00,82294.25,103056.00,0,0,0.8541767597198486
99547.25,93315.25,82297.50,103053.75,0,0,0.8693857192993164
99551.50,93307.75,82282.50,103038.25,0,0,0.8843197822570801
99549.00,93298.75,82264.00,103052.25,0,0,0.90028977394104
99591.25,93297.25,82287.75,103064.50,0,0,0.9160957336425781
99576.25,93296.00,82289.00,103042.00,0,0,0.9314844608306885
99585.00,93313.25,82302.50,103062.75,0,0,0.9479389190673828
99563.25,93311.50,82304.00,103044.50,0,0,0.9629607200622559
99547.25,93296.50,82294.25,103069.25,0,0,0.9779505729675293
99573.25,93318.50,82291.25,103061.25,0,0,0.9949653148651123
99571.75,93302.50,82297.50,103048.00,0,0,1.010162353515625
99574.50,93319.75,82285.00,103046.50,0,0,1.0252957344055176
