Sensor_0,Sensor_1,Sensor_2,Sensor_3,x,z,time
98304,99668.75,98220.75,100011,0,0,0
98302,99659.25,98231.25,99963,0,0,0.01497364
98302.5,99665.75,98236.75,99963.75,0,0,0.029955149
98298.25,99668,98231.5,99968,0,0,0.045268059
98314.5,99643.25,98251.25,99976,0,0,0.060470343
98298,99672.75,98228.75,99974,0,0,0.07578063
98292.75,99672.5,98247.75,99988.25,0,0,0.09119463
98298.5,99675.75,98257.75,99974.25,0,0,0.106535673
98290.5,99645,98238.75,99981.75,0,0,0.122694254
98302.75,99666.75,98246,99964.75,0,0,0.137922525
98284.75,99652.25,98258.25,99997.75,0,0,0.153589964
98301,99676.5,98225.25,100003.75,0,0,0.169341326
98320.75,99675.5,98245.25,99989.25,0,0,0.184246778
98307.25,99648.25,98266.75,99971.5,0,0,0.200408697
98319.5,99648,98247.25,99996.5,0,0,0.21572423
98315.5,99663.75,98245.25,99973.75,0,0,0.230730534
98320.25,99659.25,98243.25,99959.75,0,0,0.245768785
98307.25,99641.75,98245.25,99975.25,0,0,0.2623384
98307.75,99634.75,98242,99977.5,0,0,0.277556419
98307.75,99657,98229.5,99994,0,0,0.292581558
98308.75,99661.5,98259.75,99972.25,0,0,0.308319569
98300,99661,98258.25,99957.5,0,0,0.323822021
98318.5,99669.75,98240.5,99991,0,0,0.339107513
98302.5,99671.75,98270,99952.25,0,0,0.354116917
98324.75,99671.25,98246,99953.5,0,0,0.371153593
98330.75,99667.75,98255,99982.25,0,0,0.38660717
98287.75,99637.25,98266,99976.75,0,0,0.401805878
98287.25,99690.75,98259,99979.5,0,0,0.416652203
98292.25,99651.75,98238.75,99981.25,0,0,0.431631327
98280.75,99674.5,98240.75,99981,0,0,0.44834137
98313,99664.25,98252.75,99978.75,0,0,0.463537693
98314.25,99672.25,98230,99993.5,0,0,0.478532553
98303.75,99671.25,98239,99990.75,0,0,0.49413538
98324.25,99655.75,98259,99991.75,0,0,0.509924412
98322.5,99644.25,98258.75,99972,0,0,0.525922298
98297.5,99647.25,98242,99967.75,0,0,0.54166913
98313.5,99654.75,98257.75,99996.5,0,0,0.557373762
98302.75,99662,98239,99983.5,0,0,0.571441174
98338.5,99686.5,98248.25,99990,0,0,0.588168859
98300.75,99667.25,98276.75,99971.25,0,0,0.603385687
98312,99655.75,98246,99992.75,0,0,0.618640423
98306.5,99659.5,98272,99975.75,0,0,0.633404732
98285.5,99671.75,98226.5,99988.5,0,0,0.649966002
98298.25,99677.5,98232,99998.75,0,0,0.665813923
98305,99656.25,98253.75,99983.75,0,0,0.680847406
98299.25,99657.25,98251.75,99980.5,0,0,0.695625782
98299.25,99655.5,98264,99960.75,0,0,0.71159029
98315.25,99663,98234,99987.75,0,0,0.727332592
98328.75,99665,98263,99955.25,0,0,0.74284482
98338.5,99638.75,98261.75,99960,0,0,0.758770943
98307.5,99639.25,98269.75,99947.25,0,0,0.774796963
98309.75,99662.5,98251.75,99978.75,0,0,0.790373564
