Sensor_0,Sensor_1,Sensor_2,Sensor_3,x,z,time
98417.75,99430.25,98951.25,100050.75,0,0,0
98379.25,99428.5,98927,100060.25,0,0,0.016020298
98382.25,99429.25,98930.75,100071,0,0,0.031985044
98359.5,99412,98943.25,100057.75,0,0,0.047163248
98379.5,99449,98949.25,100056,0,0,0.062717199
98410.5,99405.5,98936,100093.5,0,0,0.077845573
98370.5,99414,98968.75,100081.25,0,0,0.094232559
98367.75,99430.25,98944,100066.75,0,0,0.109466553
98397,99446.75,98944.5,100065.5,0,0,0.125504255
98377,99427.25,98966.25,100066.25,0,0,0.140643358
98402.25,99458.75,98940,100070.25,0,0,0.156406641
98384.25,99422.25,98942.75,100055,0,0,0.17242074
98409.5,99438,98933.25,100061.5,0,0,0.18753767
98398,99414,98934.5,100081.75,0,0,0.203221083
98390,99404.5,98927.75,100066,0,0,0.218595982
98387.5,99432.75,98935.75,100069,0,0,0.232843876
98382,99426,98951.25,100058,0,0,0.249247313
98407.25,99435.5,98938,100077.5,0,0,0.264542103
98391.25,99444.25,98940,100070.25,0,0,0.280583382
98402.75,99443.5,98950.25,100054.75,0,0,0.29527545
98393,99444.5,98938.5,100058,0,0,0.312275648
98389,99439,98951.75,100082.25,0,0,0.327285528
98383.75,99414,98948.75,100080.25,0,0,0.342297792
98398.25,99418.25,98957.25,100075.25,0,0,0.35729146
98393.25,99446.5,98930,100079.5,0,0,0.37429285
98393.5,99454.5,98953.5,100087.5,0,0,0.389304638
98403.25,99462.25,98961.5,100100.25,0,0,0.404899359
98398.75,99422.75,98973.5,100078.25,0,0,0.4219172
98393.5,99462.25,98937.25,100076.75,0,0,0.437864065
98392.5,99425.25,98949.25,100101.5,0,0,0.451890707
98379,99439.25,98953.5,100055.25,0,0,0.468852282
98396.25,99463,98952.75,100045.75,0,0,0.48290205
98380.25,99467,98926.75,100075.5,0,0,0.499277115
98399.25,99461,98916,100080.25,0,0,0.513789415
98386.75,99428.75,98951.25,100055,0,0,0.530731678
98373.5,99436.25,98951.75,100065,0,0,0.546766996
98372.5,99447.75,98972.5,100056.25,0,0,0.562511921
98393.75,99428.5,98928.5,100070.75,0,0,0.577447176
98403.25,99433.5,98934.5,100077,0,0,0.593444824
98390.75,99440,98939.5,100059.75,0,0,0.609500408
98398.25,99449,98956.5,100086.25,0,0,0.625253201
98383.5,99448,98956,100084.5,0,0,0.641340971
98402.5,99445.25,98954.5,100072.75,0,0,0.655819416
98397.25,99462,98956.5,100092.75,0,0,0.671572924
98380,99417.75,98967.25,100101.5,0,0,0.686311007
98396.5,99449.75,98959.25,100082.5,0,0,0.702471018
98406.5,99447.25,98968.75,100104.5,0,0,0.717660904
98354.5,99438.5,98969.75,100068,0,0,0.732840776
98364.5,99425.75,98948.75,100110.75,0,0,0.749033928
98381.75,99410.25,98940.5,100061,0,0,0.764639854
98377,99476.5,98950.5,100065,0,0,0.780483723
98379.25,99434,98949,100042.75,0,0,0.794892073
98373.5,99432,98946.25,100069.25,0,0,0.810842752
98396,99447.25,98951.75,100051,0,0,0.826511383
98359.75,99447.5,98959.5,100085,0,0,0.841088772
98400,99454,98951.25,100080,0,0,0.856696844
98399.25,99434.5,98958,100085.25,0,0,0.872369289
98393.25,99448.25,98943,100067.5,0,0,0.887515783
98369.5,99448.75,98972.5,100078.75,0,0,0.903420687
98392.5,99445.5,98950.25,100078.5,0,0,0.919490576
98368.5,99408.75,98940.25,100073,0,0,0.9355371
98381.75,99445.75,98967.75,100095.25,0,0,0.951819658
98393,99442.25,98955.75,100093.5,0,0,0.967812538
98390.75,99428.75,98956.5,100069.25,0,0,0.983897924
98387,99415.25,98944.5,100096.75,0,0,0.999078035
98371.5,99477,98959.75,100092,0,0,1.015148163
98362.5,99457,98951.25,100080.75,0,0,1.028678179
98389.25,99427.75,98943.25,100072,0,0,1.044114113
98384.5,99452.5,98953,100073.5,0,0,1.060057163
98379.75,99450.5,98947,100090,0,0,1.076607227
98397.5,99444.25,98952.75,100065.75,0,0,1.092406511
98398,99435,98980.5,100091.25,0,0,1.106930494
98363.75,99438.5,98967,100085.5,0,0,1.122348547
98394.5,99412.25,98969.25,100080,0,0,1.13754034
98381.5,99412.25,98956.75,100096.5,0,0,1.152738094
98409.5,99430,98925.5,100087.75,0,0,1.16852212
