Sensor_0,Sensor_1,Sensor_2,Sensor_3,x,z,time
98052.75,100900.25,98681.5,99737.5,0,0,0
98052.75,100886,98679.5,99693.5,0,0,0.015950203
98085.25,100912.75,98684.25,99697.5,0,0,0.030988455
98039.75,100901.25,98670,99701.5,0,0,0.047052145
98046.25,100882.25,98662.75,99675.75,0,0,0.064073563
98063.75,100893.75,98659.75,99712.25,0,0,0.078513145
98079.75,100913.75,98656.25,99696.5,0,0,0.09544611
98063.25,100912.5,98704,99690.25,0,0,0.110620975
98087.25,100898.25,98668.75,99714.75,0,0,0.126144409
98062.75,100912.25,98685.5,99706.5,0,0,0.142227173
98085.5,100918.5,98676.75,99695.75,0,0,0.158136129
98082.25,100893.75,98669.5,99699.5,0,0,0.174362421
98072.5,100922.5,98651.25,99739.5,0,0,0.188168526
98056.25,100889,98657.25,99673.25,0,0,0.203290462
98061.5,100909.25,98672,99686.75,0,0,0.217595816
98059.25,100875.5,98674.25,99725.75,0,0,0.23393631
98066.75,100900,98639.5,99707,0,0,0.249259233
98068.75,100865,98686.75,99694.25,0,0,0.264487267
98091.5,100878.75,98690,99726.5,0,0,0.280003548
98078.75,100880.75,98670,99678.25,0,0,0.295250416
98058.25,100904.25,98651.75,99698.25,0,0,0.31043458
98045.75,100900,98664.75,99697.25,0,0,0.325470448
98064.75,100886,98678.75,99687.5,0,0,0.340472221
98069.75,100884.25,98681.25,99706,0,0,0.356836081
98054.75,100897.75,98675.5,99720.5,0,0,0.371772051
98069.75,100902.25,98692.5,99697.5,0,0,0.388323069
98066.75,100882.5,98662,99719.5,0,0,0.404056549
98063,100900.75,98682.5,99722,0,0,0.41921401
98064.25,100864,98673.25,99711.5,0,0,0.434553862
98040.25,100901.75,98686,99722.25,0,0,0.45029521
98097.25,100870.75,98661.5,99733.25,0,0,0.465626478
98051.25,100862.25,98686.25,99726,0,0,0.481398344
98092.5,100904.5,98689.75,99709.25,0,0,0.496960163
98064.75,100889.25,98682.25,99703.25,0,0,0.511395216
98081.5,100874,98684.25,99697.75,0,0,0.526663542
98067.25,100879.25,98670,99707,0,0,0.54254055
98084,100886.5,98691.75,99727.5,0,0,0.557878971
98059,100901,98670.25,99695,0,0,0.573048592
98079,100875,98690.5,99685.5,0,0,0.589403152
98071.75,100890.5,98657.5,99712.25,0,0,0.604236126
98061,100913.75,98675.75,99687,0,0,0.62050128
98096.75,100891.25,98685.75,99713.25,0,0,0.63442874
98063.25,100903,98653.5,99727.25,0,0,0.650863171
98020.5,100907.5,98674.5,99717.75,0,0,0.665127516
98080.5,100881.75,98675.25,99691.25,0,0,0.681506157
98055.25,100892.25,98673,99728,0,0,0.696495533
98058.75,100917.5,98658.5,99680.25,0,0,0.712234497
98081,100921.75,98661.25,99691.25,0,0,0.728332043
98090.25,100905,98668.5,99695.25,0,0,0.743625879
98058.75,100882.25,98687,99696.75,0,0,0.75934577
98086.25,100894,98666,99691,0,0,0.774557352
98064,100894,98667.5,99727.25,0,0,0.789557934
98076.25,100885.25,98679,99690,0,0,0.806429625
98076.5,100898.25,98698.75,99730.25,0,0,0.822069407
98057.75,100919,98665.25,99692.5,0,0,0.837319136
98078,100898.5,98662.75,99708.75,0,0,0.85333395
98039.75,100920.25,98658.75,99718.5,0,0,0.868949413
98069.75,100896,98682.75,99714.75,0,0,0.884920359
98060.25,100899.5,98661,99705.5,0,0,0.900920868
98043.5,100912.75,98671.25,99714.5,0,0,0.915920258
98073.25,100901.5,98684,99724.75,0,0,0.930923462
98067,100882.75,98671,99704.5,0,0,0.947062492
98075,100876.75,98658,99722.25,0,0,0.961558104
98067.75,100869.5,98676.75,99711.75,0,0,0.978605509
98041.25,100857,98678,99713.25,0,0,0.99358964
98065,100892.75,98662.75,99717,0,0,1.010583639
98070,100895.5,98684,99690,0,0,1.0265553
98079.25,100900,98668.75,99707.75,0,0,1.042598248
98039.5,100878,98690,99715.25,0,0,1.058752537
98069.75,100891.5,98649.5,99712.5,0,0,1.074048758
98076.25,100876.5,98672,99714.25,0,0,1.089416981
98060.75,100903.25,98638,99681.75,0,0,1.105491638
98062.25,100895,98676.25,99700.5,0,0,1.120821953
98057.75,100883.25,98678.5,99703.25,0,0,1.136611223
98058.25,100858.75,98677,99715.75,0,0,1.151880503
98074.5,100892.25,98673.75,99710.25,0,0,1.167337894
98086.75,100908,98687,99713.75,0,0,1.183450222
98082,100854.75,98678.25,99701,0,0,1.198666573
98051.75,100882.75,98672.5,99708.5,0,0,1.21368885
98074.5,100886,98675.5,99695.25,0,0,1.230114698
98085.25,100911,98682.5,99696,0,0,1.245084524
98066.75,100893.75,98684.25,99732.75,0,0,1.260974169
98092,100874.25,98683,99714,0,0,1.276219368
98045,100886.5,98668.75,99701.75,0,0,1.291471243
98108.25,100900.75,98655.5,99709.25,0,0,1.306544542
98061.25,100913.5,98671.5,99729,0,0,1.322304964
98073,100889.5,98651.25,99716,0,0,1.338378429
98068.75,100876,98687.75,99680,0,0,1.353617668
98055.75,100892,98688.5,99677.75,0,0,1.369267941
98064.75,100868,98684.5,99686,0,0,1.385024786
98087.25,100887.75,98685.5,99719.25,0,0,1.400182724
98085.25,100874,98671,99703.25,0,0,1.415478468
98034.25,100899,98674.75,99715,0,0,1.430338621
98062.5,100878.5,98670.5,99717.75,0,0,1.446629763
98049,100898.75,98665.75,99692.75,0,0,1.462113857
98092.5,100888.5,98662.5,99706,0,0,1.478322268
98056,100906,98664.5,99686.75,0,0,1.493570805
98070.5,100902.75,98693,99705.75,0,0,1.508366346
98063.5,100870,98665,99716.25,0,0,1.524430275
98086.75,100917,98661,99683,0,0,1.540425539
98069.5,100904.25,98668.5,99699.5,0,0,1.556470871
98088.75,100874.25,98661.5,99708,0,0,1.57134366
98069,100897.75,98647.5,99740,0,0,1.586821318
98073,100896,98659,99716.5,0,0,1.602273703
98061.75,100889.5,98671.5,99689.5,0,0,1.617431879
98073.25,100876.5,98647.5,99726.25,0,0,1.632816792
98075.5,100912.25,98671,99707.25,0,0,1.64890933
98085.25,100891.75,98643,99721.5,0,0,1.664952755
98081.75,100888.5,98671,99706.5,0,0,1.681241274
98056,100892,98674.5,99708.5,0,0,1.696742058
98057.25,100915.25,98647,99698.75,0,0,1.712377787
98065.5,100868,98685.5,99712.5,0,0,1.727369308
98068.25,100893.25,98656.25,99721.25,0,0,1.742140055
98054,100907,98668.75,99706,0,0,1.757189274
98059,100891.75,98679.5,99687.25,0,0,1.772848368
98062,100884,98652.25,99713.5,0,0,1.788155794
98067.5,100885.5,98677,99722.25,0,0,1.803327322
98057.25,100890.5,98651,99710.75,0,0,1.818690777
98065,100899.25,98658.25,99712.5,0,0,1.833845139
98060.75,100890,98662.75,99690.75,0,0,1.849621534
98054.75,100885.5,98678.25,99704,0,0,1.864352942
98087.5,100878.25,98666.25,99690,0,0,1.879951477
98089.25,100896.75,98660.5,99701,0,0,1.895200729
