Sensor_0,Sensor_1,Sensor_2,Sensor_3,x,z,time
90594.25,92448.00,80899.50,92704.50,0,0,0.0
90477.50,92454.75,80898.00,92569.75,0,0,0.016530513763427734
90482.75,92456.50,80899.25,92588.50,0,0,0.029628515243530273
90508.00,92452.00,80892.50,92590.00,0,0,0.04609370231628418
90505.25,92456.75,80889.00,92603.25,0,0,0.061284780502319336
90520.50,92447.00,80889.25,92612.25,0,0,0.07673239707946777
90510.00,92448.75,80884.25,92611.25,0,0,0.09184646606445312
90526.75,92451.75,80888.00,92607.00,0,0,0.10742926597595215
90514.25,92456.75,80883.00,92612.25,0,0,0.12351846694946289
90539.00,92469.75,80905.00,92627.75,0,0,0.13916587829589844
90548.00,92439.75,80879.00,92609.00,0,0,0.1546635627746582
90564.25,92469.50,80886.25,92644.25,0,0,0.17071104049682617
90558.00,92462.75,80888.00,92657.50,0,0,0.18645739555358887
90564.75,92454.75,80892.25,92660.50,0,0,0.20260238647460938
90556.25,92460.25,80900.75,92654.25,0,0,0.21727657318115234
90551.75,92446.50,80872.50,92669.75,0,0,0.23323416709899902
90563.50,92466.25,80881.50,92652.25,0,0,0.2483673095703125
90566.50,92437.75,80886.25,92652.75,0,0,0.2641575336456299
90574.00,92450.00,80877.75,92656.50,0,0,0.27931833267211914
90559.50,92455.00,80902.75,92682.75,0,0,0.2941620349884033
90591.25,92449.00,80895.50,92642.75,0,0,0.3102884292602539
90574.50,92463.75,80900.75,92679.00,0,0,0.3252279758453369
90576.25,92462.25,80903.25,92690.25,0,0,0.3413822650909424
90560.25,92437.50,80895.75,92687.00,0,0,0.357067346572876
90589.00,92429.00,80897.75,92656.50,0,0,0.3722877502441406
90584.25,92461.75,80895.50,92720.75,0,0,0.38805222511291504
90570.50,92473.25,80880.75,92699.25,0,0,0.40329933166503906
90584.25,92452.25,80912.00,92704.00,0,0,0.41853833198547363
90567.75,92477.75,80892.00,92705.00,0,0,0.43366551399230957
90588.75,92461.75,80884.75,92710.75,0,0,0.4494905471801758
90577.25,92457.00,80888.50,92702.75,0,0,0.4653329849243164
90589.00,92458.50,80895.75,92695.75,0,0,0.48032593727111816
90578.25,92468.50,80899.25,92710.25,0,0,0.49578022956848145
90568.50,92475.00,80891.00,92706.75,0,0,0.5113174915313721
90594.25,92450.75,80892.25,92726.75,0,0,0.5270977020263672
90581.25,92454.75,80887.25,92678.75,0,0,0.5425381660461426
90593.00,92424.50,80892.00,92718.75,0,0,0.5584874153137207
90572.75,92463.50,80888.75,92669.25,0,0,0.5743250846862793
90600.50,92463.25,80910.25,92718.75,0,0,0.5891482830047607
90608.00,92454.75,80890.00,92704.50,0,0,0.6041350364685059
90576.75,92480.00,80912.00,92720.00,0,0,0.6201369762420654
90577.00,92454.00,80900.75,92700.00,0,0,0.636132001876831
90591.50,92446.25,80883.75,92702.75,0,0,0.652491569519043
90606.50,92447.75,80901.00,92716.75,0,0,0.6678755283355713
90594.50,92445.75,80885.75,92706.50,0,0,0.684035062789917
90598.00,92466.75,80895.75,92701.25,0,0,0.6980245113372803
90597.50,92481.00,80898.25,92711.25,0,0,0.7141196727752686
90604.00,92448.50,80898.25,92728.50,0,0,0.729630708694458
90604.50,92443.25,80888.00,92711.75,0,0,0.7452330589294434
90598.25,92482.25,80896.50,92711.75,0,0,0.7604286670684814
90599.00,92465.75,80897.25,92700.00,0,0,0.7759146690368652
90598.75,92437.50,80902.00,92728.75,0,0,0.7910439968109131
90588.25,92446.50,80882.50,92713.75,0,0,0.8060214519500732
90605.00,92425.50,80880.50,92715.75,0,0,0.8218576908111572
90598.25,92463.75,80908.25,92720.00,0,0,0.8368353843688965
90605.50,92458.00,80887.75,92725.75,0,0,0.8539230823516846
90617.00,92467.00,80896.25,92733.00,0,0,0.8688793182373047
90616.00,92427.75,80903.25,92732.00,0,0,0.8846621513366699
90625.25,92451.75,80909.00,92735.00,0,0,0.8996627330780029
90606.75,92445.75,80902.25,92723.25,0,0,0.914858341217041
90611.25,92443.50,80906.25,92735.25,0,0,0.9305722713470459
90604.25,92449.25,80895.50,92747.25,0,0,0.9461078643798828
90616.25,92481.75,80892.25,92740.00,0,0,0.9612033367156982
90622.25,92453.25,80888.50,92741.50,0,0,0.9765396118164062
90616.75,92460.50,80903.50,92730.50,0,0,0.9917593002319336
90607.75,92470.00,80892.25,92724.00,0,0,1.0067734718322754
90613.25,92443.25,80896.50,92730.50,0,0,1.0229434967041016
90628.50,92473.00,80897.50,92726.25,0,0,1.0382969379425049
90595.25,92442.00,80887.50,92724.25,0,0,1.0536255836486816
90623.00,92467.75,80921.75,92734.25,0,0,1.0690529346466064
90590.50,92460.25,80888.75,92718.75,0,0,1.0841386318206787
90595.25,92460.75,80907.00,92740.00,0,0,1.1005971431732178
90626.50,92448.25,80907.25,92736.75,0,0,1.1163008213043213
90602.25,92466.00,80893.25,92750.00,0,0,1.1309638023376465
90600.50,92463.00,80909.50,92742.25,0,0,1.1458699703216553
90623.50,92447.00,80900.50,92735.25,0,0,1.1615440845489502
90620.25,92470.75,80897.75,92732.00,0,0,1.177316665649414
90608.75,92466.75,80898.25,92733.00,0,0,1.1923890113830566
90634.50,92471.00,80883.25,92727.75,0,0,1.2081892490386963
90637.50,92456.50,80899.50,92747.75,0,0,1.2240116596221924
90614.50,92473.00,80901.00,92755.00,0,0,1.2390875816345215
90629.75,92452.50,80878.00,92744.25,0,0,1.2549858093261719
90623.00,92467.50,80894.75,92744.00,0,0,1.270641803741455
90633.25,92460.50,80909.00,92748.00,0,0,1.285682201385498
90620.25,92433.25,80890.00,92743.75,0,0,1.3009133338928223
90635.50,92468.75,80895.25,92742.75,0,0,1.3164660930633545
90630.25,92461.25,80882.50,92756.50,0,0,1.3316171169281006
90603.75,92460.50,80901.25,92745.75,0,0,1.3470401763916016
90629.75,92460.50,80906.25,92725.00,0,0,1.3629517555236816
90617.50,92443.50,80905.50,92729.50,0,0,1.378669023513794
90633.25,92479.75,80893.50,92759.00,0,0,1.3936073780059814
90625.50,92463.00,80915.25,92789.00,0,0,1.409226417541504
90629.75,92474.75,80910.25,92726.00,0,0,1.4251422882080078
90619.75,92456.50,80884.25,92757.75,0,0,1.4403293132781982
90627.75,92453.25,80906.75,92741.75,0,0,1.4561219215393066
90614.50,92458.50,80891.75,92757.75,0,0,1.471374750137329
90626.00,92466.50,80896.75,92763.25,0,0,1.4872465133666992
90630.00,92465.25,80914.50,92751.25,0,0,1.5020856857299805
90638.25,92486.75,80918.00,92770.25,0,0,1.5181574821472168
90660.25,92457.00,80906.50,92757.75,0,0,1.5341565608978271
90627.00,92446.25,80903.50,92762.25,0,0,1.5506608486175537
90641.00,92433.75,80907.50,92777.50,0,0,1.5661060810089111
90649.25,92475.75,80901.50,92756.00,0,0,1.5823688507080078
90646.75,92475.50,80906.00,92748.00,0,0,1.5985820293426514
90648.75,92457.50,80909.00,92756.00,0,0,1.6129553318023682
90635.25,92447.50,80908.25,92750.25,0,0,1.6284539699554443
90621.75,92454.75,80890.00,92739.25,0,0,1.644507646560669
90626.50,92461.50,80911.75,92761.50,0,0,1.660365104675293
90624.75,92471.25,80892.50,92750.75,0,0,1.6763489246368408
90633.50,92439.25,80897.25,92751.00,0,0,1.691617727279663
90637.25,92459.00,80894.25,92752.75,0,0,1.707261562347412
90647.50,92457.50,80904.00,92758.25,0,0,1.7223877906799316
90640.50,92473.00,80899.00,92765.25,0,0,1.73738431930542
90648.25,92468.75,80899.25,92744.25,0,0,1.7528610229492188
90661.00,92464.50,80886.50,92746.75,0,0,1.7683019638061523
90622.75,92480.75,80909.50,92767.75,0,0,1.7840867042541504
90646.50,92467.25,80878.50,92749.50,0,0,1.7997100353240967
90657.00,92458.50,80896.00,92764.25,0,0,1.8153817653656006
90649.75,92466.75,80894.00,92736.00,0,0,1.8312838077545166
90664.25,92470.00,80878.00,92760.25,0,0,1.846364974975586
90646.75,92469.00,80916.25,92764.25,0,0,1.8619513511657715
90620.75,92448.00,80902.75,92756.75,0,0,1.87693452835083
90619.50,92479.50,80888.00,92775.75,0,0,1.8933310508728027
90629.75,92460.00,80922.25,92778.25,0,0,1.908390760421753
90654.50,92471.25,80912.25,92752.75,0,0,1.923863172531128
90619.00,92459.25,80897.00,92781.00,0,0,1.939131736755371
90647.50,92465.50,80887.50,92763.75,0,0,1.9556715488433838
90640.00,92462.50,80922.25,92758.00,0,0,1.9716813564300537
90636.25,92488.00,80899.75,92769.50,0,0,1.9875266551971436
90648.50,92457.00,80900.00,92765.75,0,0,2.0038397312164307
90682.25,92480.00,80917.50,92755.25,0,0,2.0193517208099365
90648.50,92465.75,80900.50,92777.50,0,0,2.0350561141967773
90655.00,92494.00,80914.00,92777.50,0,0,2.0506014823913574
90616.50,92479.75,80899.75,92774.00,0,0,2.0654287338256836
90645.00,92467.75,80918.00,92785.50,0,0,2.080429792404175
90641.25,92467.00,80897.75,92773.75,0,0,2.095651388168335
90652.75,92485.75,80894.50,92803.00,0,0,2.1110379695892334
90640.50,92460.25,80897.50,92796.75,0,0,2.1279594898223877
90652.25,92468.50,80899.50,92799.25,0,0,2.1433424949645996
90666.25,92478.50,80902.50,92787.00,0,0,2.161109209060669
90649.00,92443.25,80902.25,92766.25,0,0,2.1744954586029053
90664.75,92480.25,80919.25,92764.50,0,0,2.1895532608032227
90656.75,92463.00,80901.75,92812.00,0,0,2.2050704956054688
90656.25,92472.50,80918.75,92766.75,0,0,2.221456527709961
90662.00,92458.25,80899.25,92778.75,0,0,2.237607955932617
90659.00,92462.75,80910.75,92761.00,0,0,2.252819061279297
90645.00,92477.00,80896.00,92776.50,0,0,2.267825126647949
90662.75,92460.25,80890.00,92773.75,0,0,2.284038782119751
90661.25,92469.50,80891.50,92746.25,0,0,2.2993783950805664
90657.75,92479.25,80893.75,92767.75,0,0,2.314392566680908
90672.25,92438.00,80893.75,92782.50,0,0,2.330106735229492
90665.00,92436.00,80900.75,92783.25,0,0,2.3454477787017822
90652.25,92464.25,80908.25,92784.00,0,0,2.361002206802368
90652.75,92466.75,80915.50,92795.00,0,0,2.3770010471343994
90650.25,92462.75,80887.00,92797.75,0,0,2.3923654556274414
90666.00,92501.25,80920.50,92790.00,0,0,2.4083399772644043
90664.25,92460.50,80902.50,92783.00,0,0,2.4241092205047607
90669.50,92470.75,80890.25,92799.50,0,0,2.4391016960144043
90650.00,92471.25,80889.25,92802.75,0,0,2.4550015926361084
90677.75,92472.75,80895.50,92792.75,0,0,2.4707043170928955
90658.25,92466.25,80899.75,92787.75,0,0,2.4861440658569336
90673.25,92467.00,80873.00,92766.75,0,0,2.501000165939331
90653.00,92462.50,80908.75,92782.50,0,0,2.5163750648498535
90663.25,92465.75,80915.00,92780.50,0,0,2.53167724609375
90672.25,92463.50,80908.50,92807.75,0,0,2.5467071533203125
90690.25,92472.25,80885.00,92776.75,0,0,2.5627732276916504
90658.25,92481.50,80917.00,92811.75,0,0,2.577967882156372
90683.25,92461.75,80892.25,92815.25,0,0,2.5936431884765625
90655.25,92471.50,80898.00,92798.00,0,0,2.607862710952759
90671.25,92454.25,80909.00,92807.50,0,0,2.6252281665802
90656.25,92455.25,80905.00,92803.75,0,0,2.6413631439208984
90656.75,92487.00,80892.50,92790.50,0,0,2.656679153442383
90695.00,92483.50,80918.25,92816.25,0,0,2.671447515487671
90659.25,92470.75,80916.00,92805.00,0,0,2.6871609687805176
90667.50,92489.25,80908.75,92786.50,0,0,2.703016519546509
90684.00,92472.00,80890.00,92806.75,0,0,2.7183167934417725
90659.00,92460.50,80883.50,92790.75,0,0,2.7329258918762207
90680.50,92488.00,80916.25,92823.50,0,0,2.749378204345703
90669.50,92457.75,80907.00,92812.25,0,0,2.764739990234375
90676.50,92463.25,80916.75,92791.75,0,0,2.7799265384674072
90692.00,92466.00,80899.25,92826.25,0,0,2.7956714630126953
90674.25,92475.75,80916.00,92808.50,0,0,2.810837507247925
90671.50,92465.75,80908.00,92822.00,0,0,2.8259317874908447
90695.75,92455.25,80909.25,92813.50,0,0,2.841871738433838
90689.25,92472.75,80900.00,92814.00,0,0,2.8578193187713623
90689.25,92466.00,80912.75,92801.50,0,0,2.8728363513946533
90674.50,92464.50,80898.50,92809.00,0,0,2.888333559036255
90674.00,92473.25,80912.25,92794.75,0,0,2.9039053916931152
90682.00,92454.25,80881.75,92822.25,0,0,2.919908285140991
90670.00,92463.25,80915.00,92808.75,0,0,2.9357447624206543
90686.50,92485.50,80910.25,92808.25,0,0,2.9510154724121094
90661.50,92466.50,80890.75,92826.00,0,0,2.96716570854187
90690.00,92458.50,80894.25,92812.50,0,0,2.981494426727295
90719.50,92468.75,80877.00,92819.50,0,0,2.9982237815856934
90666.25,92440.25,80894.75,92793.00,0,0,3.028322458267212
90675.25,92474.50,80875.50,92816.50,0,0,3.0448837280273438
90678.00,92450.00,80899.00,92828.50,0,0,3.060044050216675
90671.75,92454.50,80901.50,92818.00,0,0,3.0757193565368652
90692.25,92458.50,80902.00,92811.50,0,0,3.0911166667938232
90676.25,92474.50,80903.75,92823.25,0,0,3.1063215732574463
90671.75,92485.50,80906.25,92842.25,0,0,3.1216042041778564
90700.25,92487.75,80909.75,92809.00,0,0,3.137885808944702
90682.00,92465.50,80902.50,92806.00,0,0,3.1533684730529785
90653.50,92475.00,80898.50,92822.25,0,0,3.169106960296631
90695.50,92472.50,80914.00,92798.50,0,0,3.18405818939209
90702.50,92475.50,80912.00,92803.50,0,0,3.2000560760498047
90680.50,92455.00,80904.25,92822.75,0,0,3.2150590419769287
90688.75,92468.75,80902.50,92814.75,0,0,3.2310564517974854
90707.25,92474.75,80921.25,92814.25,0,0,3.2461276054382324
90685.00,92460.00,80906.50,92805.25,0,0,3.26116943359375
90670.75,92481.50,80906.75,92843.75,0,0,3.2765395641326904
90689.00,92479.75,80888.50,92837.75,0,0,3.2921767234802246
90700.00,92476.50,80901.00,92833.25,0,0,3.3070502281188965
90687.75,92487.25,80897.50,92820.75,0,0,3.3229105472564697
