Sensor_0,Sensor_1,Sensor_2,Sensor_3,x,z,time
98384.25,103418.5,107807.75,100442.25,0,0,0
98367,103432.25,107797.5,100425.75,0,0,0.01597333
98353.75,103424.75,107808.5,100394.25,0,0,0.030971766
98392.5,103438,107809.75,100431.25,0,0,0.045978785
98378.25,103438.75,107808.5,100421,0,0,0.061533928
98379,103441.5,107815.5,100428.5,0,0,0.077535391
98381.25,103423.25,107814.25,100415.5,0,0,0.092535734
98363,103420,107807.5,100426,0,0,0.108561754
98372.25,103418.25,107817.75,100407.75,0,0,0.123555422
98406.25,103422.25,107777,100415,0,0,0.139291525
98367.25,103408.75,107845.25,100417.5,0,0,0.154799461
98390.75,103419.5,107823.5,100431.75,0,0,0.16980052
98359.5,103408,107816.5,100439.25,0,0,0.184947491
98377.75,103453.75,107812.5,100405,0,0,0.201969147
98355.5,103437.5,107832.5,100443.75,0,0,0.215967894
98395.5,103448.25,107813.25,100426,0,0,0.230969191
98381.5,103401.75,107795.75,100414,0,0,0.24646759
98375.5,103445.75,107815.75,100424.75,0,0,0.262744188
98380,103423,107822,100432.75,0,0,0.277527332
98385.25,103406.25,107814.5,100448.5,0,0,0.293529034
98367.75,103427,107817.25,100412.75,0,0,0.308922052
98402.25,103410.75,107826.75,100439.5,0,0,0.324918509
98397.25,103433,107814,100432.5,0,0,0.340428591
98378.25,103437.25,107809.75,100422,0,0,0.356054306
98391.25,103450.25,107834,100442.75,0,0,0.371102333
98388.75,103432,107807,100425.5,0,0,0.387084961
98386,103414.5,107799.5,100418,0,0,0.403129578
98374.5,103444.5,107814.75,100415.75,0,0,0.419111729
98355.5,103410.25,107818.5,100428,0,0,0.433861732
98392,103392.5,107799.75,100412.25,0,0,0.449002028
98383,103415.25,107800.75,100421.75,0,0,0.464511395
98366.5,103452.5,107821.5,100424,0,0,0.480540276
98377,103441,107782.75,100413,0,0,0.496513128
98385.5,103426.5,107799,100442,0,0,0.51295805
98357.5,103435.75,107816,100414.25,0,0,0.528964043
