Sensor_0,Sensor_1,Sensor_2,Sensor_3,x,z,time
98192,103563,108861.25,100346.75,0,0,0
98171.5,103563.75,108806.5,100351.75,0,0,0.015048504
98167,103559.5,108822.75,100322.5,0,0,0.031487942
98174.75,103545,108863.25,100356.25,0,0,0.047594786
98159.25,103562,108819,100331.75,0,0,0.06355381
98177,103552.75,108838.5,100345.75,0,0,0.079865217
98172,103543.75,108854.75,100332,0,0,0.094477892
98178.75,103553.25,108849.5,100355.75,0,0,0.109487295
98162.5,103539.75,108843.75,100340,0,0,0.125543594
98181.5,103538.75,108841.75,100376.25,0,0,0.141657829
98160.5,103553.5,108843.5,100351,0,0,0.15674758
98172.25,103549.5,108834,100335.25,0,0,0.172471285
98160.5,103551.75,108822,100344,0,0,0.187678337
98182.25,103538,108846,100338.25,0,0,0.202772856
98150.75,103538.25,108840,100332.75,0,0,0.218799829
98193.25,103544,108837.75,100336,0,0,0.234376907
98176.75,103576,108816.25,100356.5,0,0,0.249990463
98162.5,103534,108828.5,100342.5,0,0,0.265772581
98174.75,103564.25,108817,100344.25,0,0,0.281292915
98173.75,103541.5,108826,100330,0,0,0.296691895
98188.25,103531.5,108858.5,100348,0,0,0.311712503
98180,103518.5,108820.75,100339.75,0,0,0.326974154
98164.5,103553.25,108834,100329.75,0,0,0.342962503
98199.5,103539,108841.75,100342,0,0,0.358959913
98173,103544,108823,100338,0,0,0.373975039
98172.25,103534.5,108856.25,100353,0,0,0.391046524
98172.5,103532.5,108806.25,100341,0,0,0.407032967
98169.25,103561.75,108835.5,100338.25,0,0,0.422570467
98171.25,103510.75,108853.75,100360.75,0,0,0.43661356
98193.5,103556.75,108830.5,100331.75,0,0,0.45223403
98186.5,103533.25,108853.25,100353.5,0,0,0.468116999
98187.25,103543.5,108834.5,100344.5,0,0,0.484110832
98166.25,103544.75,108810.25,100352.25,0,0,0.49911499
98178.75,103528.75,108819.5,100338,0,0,0.513554811
98162.5,103521,108855,100335.75,0,0,0.529407501
98169.75,103548.75,108845,100348.25,0,0,0.545699596
98159.25,103546.5,108849,100368,0,0,0.560650349
98179.75,103521.75,108850.5,100337.75,0,0,0.577116489
98171.75,103528.5,108822,100356.25,0,0,0.592483044
98169.75,103566.25,108836.75,100359.25,0,0,0.608053446
98180.5,103537.25,108820.75,100328.75,0,0,0.623439312
98170.75,103554.5,108815.25,100339.75,0,0,0.639599323
98167.75,103527,108840.75,100373.75,0,0,0.655501366
98168.25,103574,108828.25,100343.25,0,0,0.670588017
98150.25,103559,108830.75,100364.75,0,0,0.68639946
98176.5,103561.25,108841.25,100342,0,0,0.701788664
98151.75,103557.25,108820.25,100345.5,0,0,0.717853785
98188,103537,108802.5,100346.5,0,0,0.733743429
98161,103549.25,108825.75,100358.5,0,0,0.749390602
98185.25,103549,108817.25,100351.25,0,0,0.765421867
98162,103540,108831.5,100345.25,0,0,0.780800581
98178.25,103530,108826,100361.25,0,0,0.796215773
98172.75,103550.75,108841.25,100349,0,0,0.811234951
98193,103568.5,108818.25,100343.25,0,0,0.827914476
98183.25,103539.25,108836.25,100341.25,0,0,0.843029499
98193.5,103558.75,108823.5,100354,0,0,0.858561039
98153.5,103550.25,108835,100335.25,0,0,0.874703169
98173.25,103542.75,108834.5,100350,0,0,0.88995719
98172.75,103536,108822.25,100346,0,0,0.905443668
98171.5,103561,108850,100339.75,0,0,0.921119928
98172.75,103543.25,108823,100332.25,0,0,0.936074972
98201,103546.25,108824.5,100322,0,0,0.951645613
98183.25,103537.75,108833.75,100340.75,0,0,0.965854645
98171.5,103549,108793,100352,0,0,0.981438637
98179.25,103546.25,108819,100348.5,0,0,0.998206377
98166,103553.5,108801.5,100334.25,0,0,1.014212847
98173.5,103549.5,108837.5,100353.25,0,0,1.029558897
98188.75,103559.25,108824,100348.25,0,0,1.044670582
98186.25,103526.75,108840.5,100346.25,0,0,1.060685873
98163.75,103546,108821.25,100332.25,0,0,1.075658321
98166.75,103560,108808.5,100315.5,0,0,1.091463804
98174,103542.25,108824,100342.5,0,0,1.106746674
98191,103557,108828.75,100346.25,0,0,1.122347832
98177.5,103539.25,108858.5,100330.5,0,0,1.137895107
98168.5,103521.25,108822.25,100359,0,0,1.152574062
98163.75,103551.5,108833.75,100355.5,0,0,1.167827845
98171,103535.5,108819.75,100331.5,0,0,1.183425188
98189.25,103559,108848.75,100345.25,0,0,1.199018002
98172.5,103558.25,108831.5,100337.5,0,0,1.21293354
98176.25,103531,108832,100355.5,0,0,1.229371786
98174,103549.5,108809.75,100354,0,0,1.244617939
98188.75,103539.75,108806.5,100321,0,0,1.258730412
98163.25,103550,108855.75,100353.5,0,0,1.275589943
98180.25,103547.75,108823,100322.75,0,0,1.29148984
98186.75,103560.5,108828.5,100334,0,0,1.307584286
98162.75,103548.25,108829.75,100353.75,0,0,1.322140455
98201.5,103531,108819.5,100322,0,0,1.339129686
98167,103532.75,108832.25,100334.25,0,0,1.355169058
98185.5,103544.75,108823.25,100327.25,0,0,1.370131016
98151.5,103536.75,108826.5,100350.5,0,0,1.386618376
98159,103567.25,108824.25,100359.75,0,0,1.401592016
98165.25,103572,108828,100355.75,0,0,1.416448355
98158,103571,108838.25,100370.25,0,0,1.433026552
98184,103542.25,108821.5,100322.75,0,0,1.448002338
98183.25,103557.75,108827.25,100337.25,0,0,1.464980602
98167.75,103561.75,108851,100334,0,0,1.480217934
98149,103531,108820.5,100335,0,0,1.495176792
98167.5,103544,108825.25,100377.5,0,0,1.510984421
98181,103549.5,108829.25,100339.75,0,0,1.5274055
98152.25,103555.5,108807,100347,0,0,1.542412996
98147.5,103548.25,108828,100346.5,0,0,1.557411194
98195.75,103568.75,108794.25,100346.75,0,0,1.574432611
98185.75,103555.5,108836,100347,0,0,1.589393854
98176,103541.25,108823.25,100330,0,0,1.605478287
98158,103562.75,108828.75,100337.25,0,0,1.620637178
98191.25,103533.5,108804.75,100354.75,0,0,1.637636662
98179.75,103523.5,108815.25,100353.25,0,0,1.653665543
98170,103552.75,108857.75,100344.75,0,0,1.668635368
98155.5,103531.25,108822.75,100363.25,0,0,1.684627056
98183.25,103600.25,108809.75,100340.5,0,0,1.69969821
98188.75,103557,108829.75,100351.5,0,0,1.713688374
98188.5,103547.75,108810.25,100347,0,0,1.729665518
98183.75,103558,108844.75,100324.75,0,0,1.744869232
98190.75,103554.5,108838.5,100329.75,0,0,1.760012388
98160.75,103539,108834,100367.25,0,0,1.775671005
98153,103558.75,108825.5,100346.5,0,0,1.790949583
98174,103563.75,108835,100360,0,0,1.806601763
98171.75,103542.75,108846.25,100332.75,0,0,1.822329998
98176.75,103547.75,108823.5,100360,0,0,1.837918282
98155.5,103569.25,108806,100332.75,0,0,1.853228331
98147.25,103552.75,108825,100372.5,0,0,1.868420362
98152.25,103551.25,108828.25,100351.5,0,0,1.882686377
98176,103560.75,108820.75,100336,0,0,1.897881985
98168.25,103544.5,108827.5,100364.75,0,0,1.913913012
98195,103538.75,108813.5,100337.75,0,0,1.929246664
98151.5,103529,108857,100351.5,0,0,1.944672823
98177.5,103533.5,108829.5,100340.75,0,0,1.959628105
98152,103566.5,108815.75,100344.75,0,0,1.975577831
98172,103538.5,108827.5,100324.5,0,0,1.992386341
98177.5,103545.5,108807.75,100357,0,0,2.007149696
98193.5,103557,108808.5,100339.25,0,0,2.022700548
98159.75,103555,108799.25,100367.75,0,0,2.037879467
98179.5,103549,108835.25,100334,0,0,2.053467989
98157.75,103535.25,108850.5,100326.5,0,0,2.069474936
98185.75,103551.25,108821,100332.25,0,0,2.084794283
98170.25,103563,108819.25,100356,0,0,2.099789858
98208.5,103562.75,108818.75,100366,0,0,2.116747856
98182.75,103525.25,108828.75,100329.5,0,0,2.132003069
98168.75,103558.75,108826.5,100337,0,0,2.147633791
98189,103571.25,108812,100367.25,0,0,2.162778616
98184.75,103547,108825.5,100334.5,0,0,2.178430796
98169.5,103568.5,108838.25,100311.75,0,0,2.193725348
98184.5,103557.75,108848.25,100323,0,0,2.208829403
98164,103538.5,108798,100339,0,0,2.224033356
98182.75,103547.5,108821,100333.5,0,0,2.239002228
98181.5,103556.5,108819.25,100343,0,0,2.254454613
98185.75,103536.5,108801.25,100341.25,0,0,2.269739389
98165.75,103536.5,108809,100342.25,0,0,2.285487413
98165.25,103545.75,108824.25,100361.75,0,0,2.300720453
98180.25,103568,108808,100341.5,0,0,2.314774513
98147.5,103530.5,108848,100335.5,0,0,2.331497908
98169.75,103541.75,108826,100360,0,0,2.34637475
98175.5,103540,108827.25,100365.75,0,0,2.362746716
98184.75,103548.5,108826,100336.5,0,0,2.377559185
98173.75,103539.5,108813,100357.5,0,0,2.393390179
98171.75,103562.25,108831.25,100351.25,0,0,2.408666134
98188.5,103570,108815.25,100357,0,0,2.423818588
98161.5,103547.25,108796.5,100351.25,0,0,2.439009666
98175.75,103536.25,108790.75,100330.75,0,0,2.454652786
98164,103546.5,108815.25,100343.5,0,0,2.470656395
98178.75,103552,108831.25,100325.75,0,0,2.485784054
98179.5,103533.5,108827,100331.5,0,0,2.5014503
98144.75,103579.5,108833.5,100363.25,0,0,2.51698184
98179,103570.5,108822.25,100330.5,0,0,2.531733274
98169,103551.75,108813.5,100339.25,0,0,2.547482252
98176.25,103565.75,108806.75,100331.25,0,0,2.562614202
98181,103550.5,108817.5,100328,0,0,2.578638315
98183,103543.75,108828.5,100338.75,0,0,2.593634129
98175.5,103555.5,108821,100344.5,0,0,2.608737707
98187.25,103557.25,108818.75,100340.25,0,0,2.623412132
98184.5,103540.5,108818.75,100324.25,0,0,2.639330626
98156,103564,108831.25,100345,0,0,2.65537405
98182.25,103551.75,108835.5,100333.25,0,0,2.671369314
98186.25,103553.25,108810,100341,0,0,2.686817169
98191,103576,108793.25,100332.5,0,0,2.702802658
98193.5,103575.25,108806.25,100357,0,0,2.718815804
98206.5,103543.5,108804.75,100361.25,0,0,2.734483957
98176.5,103509.75,108825.5,100362.25,0,0,2.750670195
98169,103558.5,108805.5,100352.25,0,0,2.766724586
98176.5,103538.5,108811.5,100356,0,0,2.781732798
98179.75,103561.5,108819.5,100336.75,0,0,2.795721769
98192,103562.5,108817.75,100336.75,0,0,2.812193632
98165.25,103536.75,108820.5,100365.5,0,0,2.827854156
98186.75,103572.25,108825.25,100355.5,0,0,2.842856169
98165,103554,108811.5,100338,0,0,2.857949972
98171.25,103525,108804.5,100343.75,0,0,2.873964787
98175,103523.75,108790.5,100340.25,0,0,2.889001608
98196,103528.25,108807,100345.5,0,0,2.903482437
98184.25,103575.75,108824,100351.5,0,0,2.91889596
98164.5,103528.75,108813.25,100355.75,0,0,2.934453487
98192,103546.5,108811,100321.25,0,0,2.949620724
98170,103561,108800.75,100351.75,0,0,2.964491844
98153.75,103557.5,108833.75,100330.75,0,0,2.980838537
98171.5,103549,108793.5,100341.5,0,0,2.995924473
98189.75,103557.25,108814.5,100350.75,0,0,3.010491848
98153.5,103556.25,108810.25,100352.75,0,0,3.027446032
98182.25,103561.5,108818.5,100336.75,0,0,3.042773724
98201.25,103551.75,108799,100345,0,0,3.05850029
98143.25,103568,108800.25,100346.25,0,0,3.073981285
98193.25,103556.5,108818.5,100337.75,0,0,3.089643478
98148.25,103554.75,108830.5,100345,0,0,3.10441041
98184.25,103555.5,108799.75,100337.25,0,0,3.119786024
98177.5,103550.25,108823.5,100329,0,0,3.134585142
98183.5,103556,108814.5,100333.75,0,0,3.150876284
98153.25,103560.25,108809,100333.25,0,0,3.166398525
98172.75,103557.5,108830.75,100344.25,0,0,3.18232584
98184.25,103522,108809.25,100323.25,0,0,3.198254824
98181,103546,108800,100345.75,0,0,3.214104414
98200.75,103564.5,108832.75,100342.75,0,0,3.229314327
98177.25,103540.25,108786.5,100328.25,0,0,3.244364262
98175.75,103574.75,108828,100358,0,0,3.260220289
98174.25,103557.75,108828.75,100363.25,0,0,3.275498867
98167.5,103553,108799.25,100358.5,0,0,3.290674686
98175.25,103543.5,108804.75,100336.75,0,0,3.305309772
98185.5,103547.25,108819.5,100334.25,0,0,3.320875645
98154.75,103561,108804.5,100328,0,0,3.337689161
98198.75,103570,108827,100355.75,0,0,3.352682352
98171.5,103562.25,108808.75,100324,0,0,3.367926836
98185,103555,108811,100329.75,0,0,3.384177208
98190.5,103558,108813,100324.5,0,0,3.399491549
98179.75,103542.75,108813.25,100352.75,0,0,3.414765358
98185.25,103545.25,108821.5,100317,0,0,3.430608988
98164.75,103541,108797.5,100337.75,0,0,3.446664333
98171.5,103539.25,108814.25,100359,0,0,3.461641312
98173,103544.75,108808.5,100353.5,0,0,3.478595257
98190.5,103549,108811.5,100351.25,0,0,3.493443727
98156.5,103565,108806.25,100339.5,0,0,3.508770704
98187.5,103516,108824,100330.5,0,0,3.524430275
98184.75,103574,108814.5,100323.5,0,0,3.539627552
98191.75,103558,108796.5,100344,0,0,3.555347204
98172.5,103567.5,108812.25,100315.75,0,0,3.570983887
98172.25,103528,108809.5,100355.75,0,0,3.586429119
98174.75,103535.25,108798.5,100343,0,0,3.601579905
98182,103573.5,108818.5,100355.5,0,0,3.619459391
98172,103532.75,108822.75,100320.75,0,0,3.633098841
98176.25,103573.75,108822.25,100329.25,0,0,3.648565054
98156.5,103544,108820.25,100347.5,0,0,3.665128946
98161.5,103560,108790.25,100327.5,0,0,3.678256512
98193.5,103565,108806.75,100305.25,0,0,3.694856882
98193.25,103567.75,108811.25,100344.5,0,0,3.710012674
98179.75,103531,108809,100351.25,0,0,3.725456476
98199,103557.25,108817.25,100329,0,0,3.740604162
98180.25,103544.25,108807.75,100348.75,0,0,3.756317139
98176.25,103538.25,108812,100351,0,0,3.771687269
98166.25,103575.25,108824.5,100345.25,0,0,3.802777529
98166.5,103571.5,108812,100350.75,0,0,3.851737261
98167,103567.75,108810.5,100348.5,0,0,3.911587954
98164.5,103556.75,108825.25,100344,0,0,3.973269701
98183,103570.25,108808,100340,0,0,4.035888195
98168.75,103555.75,108819.25,100348,0,0,4.096889734
98181,103549.75,108803,100323,0,0,4.159595966
98173.5,103559.25,108803,100345.5,0,0,4.207941294
98191,103547.75,108823,100346.5,0,0,4.266030312
98176.75,103537,108814.25,100317,0,0,4.326076269
98185.75,103537.75,108791.75,100348.25,0,0,4.389658689
98169.75,103552.25,108809,100334.75,0,0,4.451733589
98190.5,103543.5,108790.25,100344,0,0,4.513747454
98168.25,103538.5,108830,100349.75,0,0,4.574225903
98183.75,103538.5,108830.25,100364.25,0,0,4.622124195
98193,103548.75,108808.25,100339.25,0,0,4.682405949
98163.25,103568,108800,100336.5,0,0,4.74298501
98178,103572.25,108810.5,100348,0,0,4.805773497
98184.25,103543,108812.5,100337,0,0,4.86869359
98172.5,103533.25,108831.75,100344.75,0,0,4.930574894
98179.25,103541.75,108808.25,100333.75,0,0,4.977429628
98167.5,103568.25,108803.5,100334,0,0,5.04093504
98179,103537.5,108815,100337.5,0,0,5.102463484
98194.75,103550.75,108805,100347.25,0,0,5.164083242
98212.5,103566.25,108791.5,100345.75,0,0,5.21506381
98168.25,103512,108802.25,100356.25,0,0,5.276299477
98165.25,103568,108793.25,100350.25,0,0,5.33686471
98168.75,103544,108800.75,100341.5,0,0,5.398730993
98195.25,103548,108804.75,100317,0,0,5.460606337
98181,103571,108801.25,100364.75,0,0,5.524605513
98156.5,103533.5,108802.75,100376.25,0,0,5.571537733
98172.25,103537.25,108819.5,100346,0,0,5.63344264
98159.75,103556.5,108790.25,100355,0,0,5.694625616
98184.75,103551,108825.25,100372.5,0,0,5.757448912
98197,103531.75,108799,100335.5,0,0,5.819388866
98164,103543.25,108806.5,100317,0,0,5.866304636
98187.75,103549.75,108798.5,100326.75,0,0,5.927615166
98188.75,103542.25,108807,100333.5,0,0,5.989442348
98163.5,103559.25,108784.75,100333.75,0,0,6.051843882
98166.25,103543.25,108791.75,100330.25,0,0,6.11411047
98166.5,103571.5,108820.5,100346.75,0,0,6.175410748
98170,103590.25,108822,100331.25,0,0,6.223763466
98177.5,103559.5,108814,100332.75,0,0,6.283578873
98185.25,103560.25,108795.5,100351.75,0,0,6.347255945
98167.25,103526.25,108798.25,100357.5,0,0,6.40726757
98190.25,103558.5,108820,100310.75,0,0,6.469954491
98160.75,103558.25,108806,100331,0,0,6.5213902
98193.25,103514,108803.25,100352.75,0,0,6.580903769
98176.25,103547.25,108829,100363,0,0,6.64240098
98181.25,103530.75,108786,100328.25,0,0,6.703606129
98193,103555.75,108807.25,100336.25,0,0,6.766315699
98194.75,103558.25,108831,100351.75,0,0,6.816842318
98165.5,103532.25,108803.25,100322.75,0,0,6.875705004
98186.5,103558,108799.75,100346.25,0,0,6.936223269
98186,103549.75,108793.5,100344.5,0,0,6.997596025
98183,103542.25,108795.25,100352.5,0,0,7.060742855
98197,103563.25,108820.75,100324.5,0,0,7.123184919
98178.75,103573.5,108787.25,100317.75,0,0,7.173356533
98180.25,103565,108807.5,100314.5,0,0,7.232964277
98173,103529,108821.25,100372.75,0,0,7.293980122
98165,103568,108806,100349.5,0,0,7.356588364
98174.25,103546.25,108826.25,100338.5,0,0,7.417684793
98177,103563,108784.5,100352.5,0,0,7.478588343
98169,103551.75,108815.75,100352.5,0,0,7.528601646
98169.5,103561.25,108796.25,100331,0,0,7.589291334
98179,103553.5,108792.75,100339,0,0,7.653882742
98171.25,103547.25,108837.25,100357,0,0,7.716489553
98175.25,103592.25,108801.75,100353.75,0,0,7.777717352
98169.75,103562.25,108813.5,100340,0,0,7.824712276
98173.5,103566,108846.75,100337.5,0,0,7.885598421
98160.75,103541,108804,100319,0,0,7.948719025
98172.25,103584.25,108772.75,100340,0,0,8.011488676
98162.75,103533.75,108803.5,100355.5,0,0,8.072530746
98188.25,103578.5,108813,100349,0,0,8.134858608
98190.75,103547.5,108804,100360.5,0,0,8.182538033
98166.75,103566.75,108814.5,100327.75,0,0,8.243735075
98167,103558,108799.5,100351.25,0,0,8.306001186
98173.75,103591,108765.25,100337,0,0,8.366626263
98175.25,103535.75,108806.75,100332.25,0,0,8.429335356
98190.75,103564.75,108803.5,100333.25,0,0,8.476263762
98204.25,103524.25,108793,100341,0,0,8.537593603
98171,103564.25,108805,100359,0,0,8.599669456
98176.5,103568.25,108826.5,100331.75,0,0,8.661734819
98152.75,103547,108795.5,100339.25,0,0,8.724396467
98165,103573.5,108781.25,100330,0,0,8.773566961
98187.5,103570.5,108815.5,100332.25,0,0,8.833353281
98178.75,103546.75,108799.5,100354.25,0,0,8.89767766
98164.5,103545.25,108818.75,100360,0,0,8.959957838
98182.75,103572.75,108817.75,100340.5,0,0,9.022217035
98193.25,103543.25,108802.5,100327.25,0,0,9.069512129
98205,103543.25,108825,100337,0,0,9.131380081
98184.5,103548,108810.25,100355.25,0,0,9.193074465
98175,103535.75,108778,100341.5,0,0,9.256094694
98170.75,103545.5,108793.25,100339.75,0,0,9.307619572
98155.5,103568,108803.75,100348,0,0,9.379411221
98204,103567.25,108802,100325.75,0,0,9.426777601
98177.5,103544.25,108786.75,100349.75,0,0,9.487807274
